date,sessions
2024-10-30,14896
2024-10-31,14782
2024-11-01,13712
2024-11-02,7682
2024-11-03,7037
2024-11-04,14886
2024-11-05,13599
2024-11-06,14838
2024-11-07,13244
2024-11-08,13186
2024-11-09,7487
2024-11-10,7244
2024-11-11,14932
2024-11-12,14667
2024-11-13,15904
2024-11-14,14679
2024-11-15,13243
2024-11-16,7314
2024-11-17,6961
2024-11-18,14752
2024-11-19,16038
2024-11-20,15464
2024-11-21,13366
2024-11-22,12573
2024-11-23,8297
2024-11-24,7324
2024-11-25,15855
2024-11-26,14735
2024-11-27,15305
2024-11-28,13595
2024-11-29,12770
2024-11-30,7792
2024-12-01,7901
2024-12-02,15030
2024-12-03,16379
2024-12-04,15963
2024-12-05,15162
2024-12-06,12643
2024-12-07,8473
2024-12-08,8041
2024-12-09,15418
2024-12-10,16643
2024-12-11,15330
2024-12-12,15227
2024-12-13,13052
2024-12-14,8178
2024-12-15,7592
2024-12-16,15019
2024-12-17,17484
2024-12-18,14963
2024-12-19,15633
2024-12-20,13013
2024-12-21,8545
2024-12-22,7237
2024-12-23,16157
2024-12-24,16621
2024-12-25,15947
2024-12-26,15480
2024-12-27,12311
2024-12-28,8283
2024-12-29,7993
2024-12-30,15739
2024-12-31,16756
