loan_id,credit_score,annual_income,loan_amount,debt_to_income,months_employed,prior_defaults,purpose,defaulted
L00518,667,52200,28000,0.467,80,0,debt_consolidation,0
L00519,790,38400,22400,0.339,38,0,debt_consolidation,0
L00520,793,41000,10800,0.37,29,0,vehicle,1
L00521,643,44300,18800,0.412,99,0,debt_consolidation,1
L00522,619,40500,19400,0.282,58,0,vehicle,0
L00523,675,60000,23900,0.192,0,0,home_improvement,0
L00524,643,37000,22400,0.154,69,0,medical,0
L00525,642,48700,22100,0.533,42,0,vehicle,0
L00526,598,46300,28900,0.42,29,1,other,1
L00527,644,23900,5600,0.37,0,0,other,0
L00528,598,61700,29100,0.458,0,0,medical,0
L00529,626,50400,10200,0.473,67,0,debt_consolidation,0
L00530,702,87000,23300,0.341,86,0,vehicle,0
L00531,667,104100,67200,0.381,46,0,home_improvement,1
L00532,738,62900,17800,0.388,24,1,medical,0
L00533,588,66400,49700,0.417,132,0,vehicle,0
L00534,770,79900,54000,0.61,66,1,medical,0
L00535,658,52200,28700,0.159,72,1,vehicle,0
L00536,642,53700,25500,0.348,100,0,medical,0
L00537,611,49400,7900,0.188,60,0,medical,1
L00538,688,103400,20200,0.389,0,0,medical,0
L00539,792,68000,19400,0.196,82,0,vehicle,0
L00540,706,96300,63900,0.453,33,0,debt_consolidation,0
L00541,738,90300,66900,0.383,75,0,home_improvement,1
L00542,695,38100,12300,0.414,43,0,debt_consolidation,0
L00543,633,42600,7900,0.445,123,0,vehicle,0
L00544,764,71700,17000,0.05,42,0,home_improvement,0
L00545,677,46200,31400,0.311,40,0,medical,1
L00546,709,38300,10300,0.419,106,1,home_improvement,1
L00547,697,61900,40200,0.47,76,0,other,0
L00548,639,57700,39500,0.408,0,0,home_improvement,0
L00549,672,38400,27500,0.069,60,0,home_improvement,1
L00550,710,28300,12900,0.268,83,0,home_improvement,0
L00551,716,59500,17700,0.426,14,0,other,0
L00552,655,82900,57100,0.178,85,0,other,0
L00553,840,42000,14100,0.316,7,0,home_improvement,0
L00554,760,67100,34400,0.263,10,0,vehicle,0
L00555,642,18700,6700,0.107,63,0,home_improvement,0
L00556,670,39300,22200,0.483,49,0,other,0
L00557,772,67400,14300,0.02,0,0,medical,0
L00558,628,70400,29300,0.519,42,0,debt_consolidation,0
L00559,833,49300,18800,0.405,25,0,other,0
L00560,711,41100,23600,0.409,92,0,other,0
L00561,744,79800,46400,0.079,79,0,vehicle,0
L00562,690,31200,14300,0.56,78,1,vehicle,0
L00563,811,45500,22500,0.253,96,0,debt_consolidation,0
L00564,725,86300,62000,0.337,65,1,home_improvement,0
L00565,637,69600,37700,0.389,39,0,debt_consolidation,1
L00566,755,33200,6200,0.101,21,1,medical,0
L00567,759,54500,21300,0.436,98,0,medical,0
L00568,723,48500,23900,0.452,113,0,other,0
L00569,634,28900,19300,0.274,4,0,medical,0
L00570,677,31900,10500,0.233,37,0,vehicle,0
L00571,607,53200,13200,0.588,47,0,home_improvement,1
L00572,499,28300,12500,0.406,76,0,other,0
L00573,768,51800,34300,0.29,66,0,medical,0
L00574,760,104400,68700,0.336,61,1,vehicle,0
L00575,725,35700,7500,0.223,70,0,debt_consolidation,0
L00576,572,82700,35900,0.261,71,0,home_improvement,0
L00577,704,43400,15800,0.102,38,0,home_improvement,1
L00578,615,14600,8900,0.432,70,0,other,0
L00579,551,72700,37700,0.248,15,0,debt_consolidation,1
L00580,583,69100,48100,0.648,88,1,debt_consolidation,1
L00581,627,56300,39100,0.324,83,0,vehicle,0
L00582,625,45300,22700,0.251,53,0,home_improvement,1
L00583,641,40200,18900,0.473,94,0,other,0
L00584,707,52400,33300,0.269,0,0,medical,1
L00585,635,101200,35100,0.34,19,0,home_improvement,0
L00586,560,72900,26800,0.1,86,0,debt_consolidation,0
L00587,762,43400,11900,0.249,50,2,vehicle,0
L00588,617,93600,43400,0.265,67,0,other,0
L00589,668,27700,8000,0.363,0,0,debt_consolidation,1
L00590,736,107200,40000,0.048,99,0,home_improvement,0
L00591,630,51000,19000,0.326,55,0,other,0
L00592,650,19000,8600,0.334,76,0,medical,1
L00593,596,20600,4100,0.104,118,0,vehicle,0
L00594,616,33400,8500,0.337,45,0,medical,0
L00595,677,56600,9900,0.441,139,0,other,0
L00596,716,125200,52800,0.255,109,0,medical,0
L00597,721,43300,16800,0.342,86,0,other,0
L00598,699,34800,19400,0.304,5,0,medical,0
L00599,775,34500,17200,0.372,0,2,other,1
L00600,757,33400,6800,0.473,110,0,debt_consolidation,0
L00601,615,49300,12200,0.408,21,0,home_improvement,1
L00602,649,50800,34200,0.554,34,1,vehicle,1
L00603,778,48000,31800,0.465,51,2,medical,1
L00604,792,42900,31300,0.243,35,0,medical,0
L00605,590,79200,25700,0.175,34,0,home_improvement,0
L00606,631,55200,18300,0.259,99,0,medical,0
L00607,729,29300,11600,0.386,89,0,medical,0
L00608,618,40100,23500,0.414,13,0,home_improvement,0
L00609,643,30300,9600,0.346,76,0,other,0
L00610,766,44000,21600,0.409,33,0,other,0
L00611,598,69600,43300,0.196,43,0,debt_consolidation,0
L00612,706,33500,16500,0.251,149,0,debt_consolidation,0
L00613,737,26900,12100,0.139,80,0,home_improvement,0
L00614,782,31100,22500,0.171,14,2,home_improvement,1
L00615,777,37900,20500,0.235,31,0,other,0
L00616,726,43700,13100,0.284,111,0,medical,0
L00617,609,81100,27000,0.298,68,1,vehicle,0
L00618,748,90500,55100,0.555,95,0,debt_consolidation,0
L00619,671,75300,30700,0.156,0,0,debt_consolidation,1
L00620,631,81400,19400,0.267,0,0,vehicle,1
L00621,683,75100,52700,0.188,22,0,home_improvement,1
L00622,745,53300,38200,0.392,22,0,debt_consolidation,0
L00623,748,46800,16400,0.18,58,0,medical,0
L00624,565,39400,28100,0.681,121,0,medical,1
L00625,840,64700,43600,0.413,0,1,vehicle,0
L00626,703,106600,59900,0.173,71,0,home_improvement,0
L00627,778,26100,7300,0.302,47,0,medical,0
L00628,757,46100,12900,0.722,83,0,vehicle,1
L00629,799,51700,21300,0.349,94,0,vehicle,0
L00630,634,44000,17600,0.35,61,1,other,0
L00631,727,99200,34600,0.353,78,0,medical,0
L00632,631,33200,8200,0.504,100,0,home_improvement,0
L00633,729,55500,26800,0.142,0,0,other,0
L00634,785,24100,13800,0.412,75,1,other,0
L00635,709,50600,33700,0.382,65,0,vehicle,0
L00636,591,29000,5100,0.352,115,0,debt_consolidation,0
L00637,796,79200,33300,0.368,0,0,vehicle,0
L00638,650,32700,17600,0.579,32,0,medical,0
L00639,734,49500,15200,0.338,72,0,other,0
L00640,764,43300,13000,0.352,102,0,medical,0
L00641,635,66900,17400,0.315,0,0,other,0
L00642,772,107000,58800,0.231,30,0,other,1
L00643,741,69800,20300,0.199,2,1,other,0
L00644,763,69200,30300,0.533,77,0,home_improvement,0
L00645,676,41700,24500,0.252,38,0,debt_consolidation,0
L00646,645,40700,24100,0.628,75,1,other,0
L00647,790,56400,10600,0.321,81,0,debt_consolidation,0
L00648,623,58100,36200,0.213,62,0,vehicle,0
L00649,794,58000,23100,0.482,26,0,other,0
L00650,584,59700,29600,0.335,0,0,medical,0
L00651,640,30900,6400,0.303,96,0,medical,0
L00652,666,42300,8500,0.404,78,2,vehicle,0
L00653,779,55400,38200,0.304,65,0,vehicle,0
L00654,705,35400,18900,0.612,98,0,vehicle,0
L00655,673,135800,86900,0.723,50,0,medical,0
L00656,776,59300,13300,0.469,68,0,home_improvement,0
L00657,800,40400,22200,0.204,65,0,other,0
L00658,653,84000,54700,0.251,0,2,home_improvement,1
L00659,829,30700,9400,0.651,59,1,debt_consolidation,0
L00660,643,120200,48700,0.167,46,1,home_improvement,0
L00661,742,37100,23900,0.392,48,2,vehicle,0
L00662,667,28800,16900,0.5,83,0,home_improvement,0
L00663,671,22800,9400,0.45,0,0,vehicle,1
L00664,608,62200,28500,0.084,71,0,vehicle,0
L00665,694,184300,49200,0.699,112,0,vehicle,0
L00666,686,39000,18700,0.404,48,0,debt_consolidation,0
L00667,617,73700,42200,0.37,124,0,debt_consolidation,0
L00668,741,81700,26100,0.528,38,0,other,0
L00669,754,101200,38200,0.156,29,1,medical,0
L00670,772,41200,19900,0.337,0,0,vehicle,0
L00671,610,61200,31500,0.293,121,0,medical,0
L00672,701,153300,25300,0.397,87,0,other,1
L00673,591,79100,57400,0.236,105,0,medical,0
L00674,702,29300,20500,0.317,2,0,debt_consolidation,0
L00675,641,32100,11500,0.235,20,0,home_improvement,0
L00676,782,44300,26100,0.404,73,2,other,0
L00677,657,36300,26700,0.322,58,2,other,0
L00678,695,25500,6500,0.325,82,0,medical,0
L00679,687,38200,20900,0.415,46,0,medical,0
L00680,624,60000,40700,0.289,0,0,other,1
L00681,798,74000,50000,0.266,20,0,other,0
L00682,651,19500,9100,0.107,28,0,medical,0
L00683,587,40000,12000,0.262,49,0,home_improvement,0
L00684,642,63900,38800,0.342,79,0,medical,0
L00685,798,45100,6900,0.454,54,0,debt_consolidation,0
L00686,682,32900,22200,0.238,73,0,home_improvement,0
L00687,690,92500,43200,0.308,110,0,medical,0
L00688,646,55500,22400,0.281,163,0,home_improvement,0
L00689,664,95300,16200,0.625,39,0,debt_consolidation,0
L00690,840,45600,19900,0.313,107,1,home_improvement,0
L00691,529,17600,3100,0.251,16,0,other,1
L00692,695,41800,29500,0.25,54,0,other,0
L00693,600,42100,16800,0.408,23,0,medical,0
L00694,728,42800,6700,0.443,33,0,debt_consolidation,0
L00695,656,54400,12000,0.405,16,0,medical,0
L00696,591,70600,24200,0.416,63,0,debt_consolidation,1
L00697,747,49200,18900,0.209,0,0,medical,0
L00698,677,28700,5100,0.403,122,0,medical,0
L00699,622,44400,25800,0.453,25,1,other,0
L00700,674,25600,4800,0.305,48,0,vehicle,0
L00701,707,28000,18300,0.336,90,2,debt_consolidation,0
L00702,720,48800,26600,0.3,52,0,medical,0
L00703,636,62200,25500,0.328,1,0,other,0
L00704,619,57000,41500,0.419,145,0,vehicle,0
L00705,689,67400,32800,0.207,12,0,home_improvement,0
L00706,706,40900,20100,0.582,21,0,home_improvement,0
L00707,684,81500,35200,0.476,119,0,medical,0
L00708,645,53600,9600,0.279,1,0,home_improvement,1
L00709,751,72700,16900,0.309,30,0,debt_consolidation,0
L00710,631,56400,25700,0.34,45,0,medical,1
L00711,702,51900,28100,0.3,92,0,vehicle,0
L00712,700,53300,24800,0.158,98,0,vehicle,0
L00713,728,52000,13300,0.324,132,0,debt_consolidation,0
L00714,809,47600,19500,0.396,52,2,medical,0
L00715,827,69200,49800,0.385,19,0,other,0
L00716,810,46300,30200,0.353,54,0,debt_consolidation,1
L00717,792,37600,20700,0.309,65,0,debt_consolidation,0
L00718,734,49800,31800,0.584,26,0,debt_consolidation,0
L00719,661,37200,6600,0.259,5,0,home_improvement,0
L00720,680,60600,15800,0.224,48,0,vehicle,0
L00721,716,33500,20900,0.432,59,0,vehicle,0
L00722,748,56800,21200,0.437,101,0,vehicle,0
L00723,623,93100,46300,0.326,92,0,other,0
L00724,649,102300,75800,0.307,68,0,other,0
L00725,623,54500,30000,0.228,59,0,debt_consolidation,0
L00726,787,29200,10600,0.437,16,0,medical,0
L00727,711,56200,15100,0.332,100,1,debt_consolidation,0
L00728,775,66700,34100,0.35,54,0,debt_consolidation,0
L00729,741,36300,26100,0.378,122,1,vehicle,0
L00730,748,92200,40100,0.541,57,0,debt_consolidation,0
L00731,708,118000,70000,0.345,0,0,vehicle,0
L00732,709,60300,37200,0.436,116,0,debt_consolidation,0
L00733,761,93100,69800,0.345,30,0,debt_consolidation,0
L00734,757,126000,61200,0.329,41,0,medical,0
L00735,619,59600,28400,0.284,145,1,home_improvement,0
L00736,782,39700,23400,0.44,42,0,home_improvement,0
L00737,622,65900,33800,0.511,36,0,medical,0
L00738,683,59600,34000,0.466,51,0,vehicle,0
L00739,614,66800,42600,0.378,0,0,other,0
L00740,789,43100,17400,0.347,112,0,other,0
L00741,607,32100,22700,0.302,13,1,other,0
L00742,751,46200,32200,0.345,64,0,other,0
L00743,617,88100,28800,0.487,107,2,debt_consolidation,0
L00744,683,44300,28500,0.435,31,0,medical,1
L00745,692,23600,17000,0.426,65,0,other,0
L00746,690,31500,12600,0.343,29,1,vehicle,0
L00747,747,38200,13600,0.162,52,0,home_improvement,0
L00748,714,48000,23800,0.296,51,0,debt_consolidation,0
L00749,651,75400,51100,0.496,0,0,debt_consolidation,0
L00750,649,45200,32800,0.284,50,0,debt_consolidation,0
L00751,715,46500,11600,0.31,112,0,medical,0
L00752,785,78600,57100,0.38,76,0,home_improvement,0
L00753,616,36200,23700,0.294,38,0,vehicle,0
L00754,776,68300,35500,0.217,106,0,vehicle,0
L00755,741,54000,16500,0.567,100,0,other,0
L00756,840,66900,49400,0.251,98,0,debt_consolidation,0
L00757,696,90200,28000,0.424,116,0,medical,0
L00758,656,53300,29900,0.5,0,0,other,1
L00759,719,48500,29400,0.407,82,0,debt_consolidation,0
L00760,694,31200,9400,0.02,77,1,home_improvement,0
L00761,645,70400,49800,0.29,0,0,debt_consolidation,1
L00762,708,37400,21600,0.413,52,0,other,0
L00763,681,82100,17400,0.442,56,0,debt_consolidation,0
L00764,762,50000,20200,0.198,63,2,home_improvement,0
L00765,716,76700,13400,0.311,114,0,other,0
L00766,701,60100,42700,0.262,60,1,other,0
L00767,700,74700,29500,0.416,92,0,medical,0
L00768,740,71600,17900,0.419,0,0,home_improvement,0
L00769,722,48200,35600,0.599,42,0,medical,1
L00770,601,47500,10300,0.379,0,0,vehicle,1
L00771,747,70100,43400,0.342,126,0,vehicle,0
L00772,637,53400,8600,0.214,15,0,medical,1
L00773,840,45400,18800,0.355,55,0,medical,0
L00774,591,40800,7500,0.233,100,1,debt_consolidation,0
L00775,778,39500,8900,0.392,53,1,vehicle,0
L00776,660,76000,17000,0.128,0,0,other,1
L00777,642,46200,30000,0.319,20,0,other,0
L00778,717,49000,34800,0.232,66,0,vehicle,1
L00779,749,38500,18000,0.432,22,0,vehicle,0
L00780,642,37900,14100,0.213,0,1,debt_consolidation,1
L00781,721,102300,59800,0.273,0,0,debt_consolidation,0
L00782,719,33400,22200,0.586,65,0,medical,0
L00783,633,94300,63100,0.499,80,0,medical,0
L00784,661,59300,43900,0.457,93,0,home_improvement,0
L00785,774,34000,17300,0.275,41,0,vehicle,0
L00786,817,70600,15500,0.156,43,0,home_improvement,0
L00787,669,44000,22000,0.429,65,0,home_improvement,0
L00788,692,82100,27900,0.218,62,0,other,0
L00789,676,26300,7600,0.245,109,2,other,0
L00790,663,36700,12800,0.35,65,0,debt_consolidation,0
L00791,617,41000,19800,0.371,96,0,medical,0
L00792,730,39500,21100,0.429,0,1,debt_consolidation,0
L00793,713,79200,15100,0.153,44,0,vehicle,1
L00794,693,135300,46500,0.472,58,0,home_improvement,0
L00795,705,49800,28200,0.068,20,0,vehicle,0
L00796,604,25400,7300,0.233,42,0,vehicle,0
L00797,600,78200,22900,0.256,1,0,debt_consolidation,1
L00798,604,28500,17200,0.34,22,0,home_improvement,1
L00799,745,81200,19700,0.199,3,1,home_improvement,0
L00800,744,39400,27200,0.208,50,0,other,0
L00801,692,42300,10200,0.248,70,0,vehicle,0
L00802,510,34800,23200,0.382,58,0,vehicle,1
L00803,666,45900,18300,0.122,75,0,vehicle,0
L00804,649,36900,19000,0.625,62,0,home_improvement,0
L00805,763,40300,10500,0.242,141,0,other,0
L00806,738,53100,22900,0.472,6,1,other,0
L00807,612,91900,14200,0.334,85,0,vehicle,0
L00808,651,25400,6100,0.147,155,0,other,0
L00809,635,65100,11300,0.144,77,0,vehicle,0
L00810,840,75900,50700,0.248,78,0,home_improvement,0
L00811,622,54800,11400,0.613,99,0,home_improvement,1
L00812,787,60300,44400,0.329,57,0,home_improvement,0
L00813,688,29100,20600,0.177,90,0,debt_consolidation,0
L00814,631,78700,58700,0.474,131,0,other,0
L00815,840,61200,14100,0.233,58,0,home_improvement,0
L00816,750,80200,36800,0.517,43,0,debt_consolidation,0
L00817,664,48400,15900,0.358,47,0,vehicle,0
L00818,777,25600,14400,0.08,0,0,vehicle,0
L00819,698,45900,27100,0.251,139,0,home_improvement,0
L00820,762,41900,21100,0.55,35,0,debt_consolidation,0
L00821,639,84900,50900,0.383,46,0,debt_consolidation,0
L00822,719,27400,9800,0.286,91,0,vehicle,0
L00823,693,36100,14500,0.35,55,0,other,0
L00824,697,55400,32500,0.339,59,0,debt_consolidation,0
L00825,666,47000,13200,0.459,78,0,vehicle,0
L00826,840,33500,9600,0.365,102,0,home_improvement,0
L00827,739,96800,52700,0.343,19,0,debt_consolidation,0
L00828,741,81500,45200,0.252,64,0,medical,0
L00829,792,44100,23500,0.17,35,0,medical,0
L00830,651,62600,31800,0.208,115,0,debt_consolidation,0
L00831,732,18900,12000,0.224,50,0,vehicle,0
L00832,687,49000,25800,0.25,77,0,medical,0
L00833,548,69200,15800,0.15,91,0,home_improvement,1
L00834,741,32200,22200,0.439,105,0,other,0
L00835,710,40500,18200,0.221,48,1,medical,1
L00836,666,88100,21000,0.441,49,0,medical,1
L00837,727,47800,16100,0.545,8,0,other,1
L00838,740,23100,7400,0.234,66,0,home_improvement,0
L00839,772,47700,7900,0.254,28,0,other,0
L00840,730,53900,27600,0.235,28,0,medical,0
L00841,586,36900,24600,0.557,121,0,medical,0
L00842,822,29800,4600,0.385,20,0,debt_consolidation,0
L00843,675,60700,44600,0.354,7,0,debt_consolidation,0
L00844,654,39900,11700,0.223,55,0,vehicle,0
L00845,797,43100,7900,0.435,76,0,medical,0
L00846,675,47300,17600,0.245,57,0,home_improvement,0
L00847,644,67800,23900,0.02,13,0,vehicle,0
L00848,639,39900,16500,0.407,87,0,vehicle,0
L00849,722,172200,62900,0.358,31,0,vehicle,0
L00850,798,36700,26900,0.31,64,0,home_improvement,0
L00851,686,46600,24100,0.324,111,0,home_improvement,0
L00852,693,38000,11000,0.338,98,0,medical,0
L00853,721,42900,20300,0.611,60,1,vehicle,0
L00854,666,62700,35300,0.629,59,1,home_improvement,1
L00855,670,18100,6500,0.305,143,0,debt_consolidation,0
L00856,633,28900,19800,0.408,54,0,home_improvement,0
L00857,675,96100,24000,0.31,48,1,medical,0
L00858,706,41100,20000,0.264,30,0,medical,0
L00859,705,32800,19000,0.343,43,0,medical,0
L00860,718,56800,20700,0.318,0,1,other,0
L00861,794,44900,15100,0.321,0,0,debt_consolidation,0
L00862,726,64800,42400,0.289,102,1,debt_consolidation,0
L00863,554,47100,13900,0.35,38,0,medical,1
L00864,655,48900,19000,0.201,53,0,medical,0
L00865,671,80700,52700,0.378,78,0,other,0
L00866,613,44300,12800,0.235,9,0,medical,0
L00867,797,21400,11900,0.456,93,0,home_improvement,0
L00868,775,109100,22400,0.432,91,0,home_improvement,0
L00869,724,61500,23800,0.25,35,0,vehicle,0
L00870,725,31200,16100,0.358,82,0,debt_consolidation,0
L00871,717,55500,22600,0.411,39,0,vehicle,0
L00872,730,87200,51900,0.57,29,0,medical,1
L00873,723,55400,18600,0.241,26,0,vehicle,0
L00874,711,58600,13700,0.193,3,0,medical,0
L00875,804,70600,22900,0.041,61,0,medical,0
L00876,626,32800,23300,0.454,40,0,medical,1
L00877,560,96900,31800,0.41,41,0,other,0
L00878,606,43200,21600,0.271,56,0,home_improvement,1
L00879,737,83000,53900,0.5,0,0,medical,0
L00880,704,101400,17200,0.246,101,0,debt_consolidation,0
L00881,580,56600,38400,0.601,15,0,debt_consolidation,1
L00882,711,48900,9500,0.312,66,2,other,0
L00883,751,63400,12700,0.263,62,0,other,0
L00884,746,80700,19800,0.42,50,1,vehicle,1
L00885,509,74900,23800,0.463,0,0,other,1
L00886,743,64000,40000,0.395,22,0,medical,0
L00887,623,85100,23000,0.415,86,0,other,0
L00888,598,79200,59000,0.199,26,0,vehicle,0
L00889,721,32800,8300,0.216,35,0,debt_consolidation,0
L00890,761,22900,9800,0.309,44,0,other,0
L00891,616,48800,34000,0.395,67,0,home_improvement,1
L00892,716,80200,31000,0.287,36,0,home_improvement,0
L00893,572,52300,24400,0.25,0,0,vehicle,0
L00894,779,61500,43900,0.36,65,0,other,0
L00895,668,38600,12500,0.085,29,0,medical,0
L00896,678,56700,41800,0.093,126,0,vehicle,0
L00897,634,54900,22000,0.345,34,1,debt_consolidation,1
L00898,786,34300,14600,0.322,75,0,medical,0
L00899,718,49200,29400,0.415,7,0,medical,0
L00900,685,64100,26800,0.246,129,0,medical,0
L00901,631,43400,22600,0.27,10,0,medical,0
L00902,747,41400,18500,0.241,112,0,vehicle,0
L00903,711,28300,6700,0.475,0,2,medical,1
L00904,770,30600,10500,0.408,4,0,other,1
L00905,484,52200,29000,0.383,25,0,other,1
L00906,683,43600,12600,0.289,64,1,vehicle,0
L00907,601,59300,34200,0.488,98,0,medical,0
L00908,731,30100,21800,0.301,48,0,medical,0
L00909,615,62500,28100,0.582,21,1,vehicle,0
L00910,655,57900,15100,0.439,76,0,debt_consolidation,0
L00911,626,52900,10000,0.439,77,2,debt_consolidation,1
L00912,768,24700,5800,0.397,19,1,home_improvement,0
L00913,630,132600,48900,0.182,21,0,home_improvement,1
L00914,531,52900,12000,0.273,25,0,debt_consolidation,1
L00915,739,70800,21400,0.255,61,1,other,0
L00916,693,66300,43900,0.345,9,0,medical,0
L00917,563,27000,12300,0.269,0,0,vehicle,1
L00918,655,67400,36800,0.437,38,1,home_improvement,0
L00919,678,24800,10300,0.36,57,0,vehicle,0
L00920,630,38400,19500,0.283,0,2,other,1
L00921,699,90000,51300,0.396,51,0,home_improvement,0
L00922,773,21400,15900,0.263,109,0,home_improvement,0
L00923,747,35700,21700,0.406,22,0,home_improvement,0
L00924,680,20200,14300,0.477,57,0,vehicle,1
L00925,593,51900,31000,0.325,42,2,medical,0
L00926,654,146400,82900,0.147,85,0,debt_consolidation,0
L00927,694,31100,11600,0.375,60,0,home_improvement,0
L00928,562,36500,7600,0.423,13,0,other,0
L00929,725,50900,8600,0.246,60,1,vehicle,1
L00930,572,61900,35100,0.406,95,0,medical,0
L00931,745,33300,5200,0.106,36,0,debt_consolidation,0
L00932,639,38200,17900,0.437,50,2,vehicle,0
L00933,732,37500,18000,0.321,80,0,debt_consolidation,0
L00934,690,39000,12400,0.394,59,0,home_improvement,0
L00935,734,55200,13100,0.437,28,0,vehicle,1
L00936,839,49500,11800,0.321,60,0,other,0
L00937,719,41700,30700,0.397,18,0,other,0
L00938,764,39600,26900,0.396,23,0,vehicle,0
L00939,605,33100,16200,0.247,90,0,home_improvement,0
L00940,696,54500,32300,0.306,60,2,other,1
L00941,748,148200,108200,0.435,91,1,debt_consolidation,0
L00942,742,38700,5900,0.326,48,0,vehicle,0
L00943,615,53700,37600,0.531,68,0,home_improvement,1
L00944,694,52200,10700,0.245,73,1,other,0
L00945,694,28200,14700,0.444,104,0,home_improvement,1
L00946,656,99300,17600,0.122,58,0,medical,0
L00947,836,26500,4300,0.388,85,0,home_improvement,0
L00948,716,37100,16300,0.423,73,0,medical,0
L00949,706,34600,12200,0.352,3,0,vehicle,0
L00950,672,38300,20500,0.153,73,0,medical,1
L00951,734,71900,46400,0.451,103,0,other,0
L00952,647,83400,28200,0.244,43,1,other,1
L00953,643,42400,15700,0.302,61,0,other,0
L00954,698,54700,31800,0.182,11,0,medical,0
L00955,629,53800,34200,0.409,5,0,medical,0
L00956,673,33200,24600,0.379,58,0,medical,0
L00957,825,69100,35900,0.134,73,0,medical,0
L00958,796,49300,25600,0.166,54,0,other,0
L00959,749,59000,11400,0.299,18,0,vehicle,0
L00960,775,102200,47200,0.102,18,0,debt_consolidation,0
L00961,717,44000,9400,0.338,71,0,debt_consolidation,0
L00962,681,77600,19300,0.373,9,1,home_improvement,1
L00963,737,33100,14700,0.252,136,0,debt_consolidation,0
L00964,717,77400,13700,0.304,98,0,medical,0
L00965,702,67700,17700,0.202,82,0,other,0
L00966,675,42900,14000,0.42,35,0,home_improvement,1
L00967,650,41500,13700,0.222,105,1,debt_consolidation,0
L00968,822,42000,15600,0.395,0,0,vehicle,0
L00969,721,42100,17300,0.174,28,2,debt_consolidation,1
L00970,675,91600,57600,0.453,43,2,vehicle,1
L00971,600,82200,44100,0.357,87,2,vehicle,1
L00972,668,57900,30700,0.255,0,0,other,0
L00973,744,39100,21400,0.142,107,0,other,0
L00974,691,60500,40100,0.561,31,0,other,0
L00975,698,45400,31800,0.195,122,1,other,0
L00976,718,41200,25800,0.6,56,0,debt_consolidation,1
L00977,766,50900,36600,0.217,105,0,vehicle,0
L00978,673,29800,8500,0.2,106,0,vehicle,0
L00979,648,54600,17900,0.449,7,0,debt_consolidation,0
L00980,799,69300,18700,0.265,24,0,vehicle,0
L00981,757,31900,22700,0.347,63,0,vehicle,0
L00982,710,72900,50500,0.28,0,2,vehicle,1
L00983,772,32700,19700,0.297,5,0,other,0
L00984,737,81200,42200,0.318,79,0,other,0
L00985,592,71100,36400,0.422,36,1,vehicle,0
L00986,633,57400,10500,0.267,20,0,home_improvement,0
L00987,763,25700,9000,0.337,96,1,debt_consolidation,0
L00988,793,26900,9500,0.345,40,1,debt_consolidation,0
L00989,672,89700,65400,0.246,98,0,vehicle,0
L00990,760,82000,35100,0.527,113,0,vehicle,0
L00991,806,47400,16200,0.557,0,1,medical,0
L00992,653,64800,44500,0.286,75,1,debt_consolidation,0
L00993,760,58900,40300,0.104,38,0,debt_consolidation,0
L00994,679,56400,42000,0.512,32,0,other,0
L00995,619,28400,16200,0.151,49,0,home_improvement,0
L00996,627,28000,17900,0.186,7,1,other,0
L00997,645,53700,9100,0.447,82,0,medical,0
L00998,714,51700,22300,0.665,68,0,other,0
L00999,642,46100,32000,0.057,87,0,vehicle,0
L01000,663,52400,8100,0.2,88,1,other,0
L01001,634,27100,6500,0.27,75,0,vehicle,0
L01002,755,70200,18400,0.249,0,1,debt_consolidation,0
L01003,717,64500,20300,0.383,21,0,medical,1
L01004,740,50800,21400,0.396,0,0,home_improvement,0
L01005,806,87600,33400,0.218,61,0,vehicle,0
L01006,702,53300,16200,0.154,15,0,debt_consolidation,0
L01007,729,54300,29900,0.225,45,0,home_improvement,0
L01008,727,37000,22700,0.048,69,0,debt_consolidation,0
L01009,840,38700,6900,0.339,102,0,home_improvement,0
L01010,688,55700,13300,0.582,0,2,other,1
L01011,613,59800,19100,0.579,0,0,other,1
L01012,623,67200,50400,0.483,57,0,medical,0
L01013,682,36200,16800,0.336,99,0,home_improvement,0
L01014,639,34400,9200,0.133,55,0,debt_consolidation,1
L01015,721,72100,38600,0.524,72,0,other,0
L01016,588,93100,56600,0.387,12,1,vehicle,0
L01017,627,70100,52500,0.464,57,0,vehicle,0
L01018,613,38000,8100,0.369,17,0,vehicle,1
L01019,642,85200,24700,0.791,10,0,other,1
L01020,571,99700,17800,0.414,60,0,home_improvement,0
L01021,646,77500,57800,0.454,42,0,other,0
L01022,711,51400,15100,0.205,0,0,home_improvement,0
L01023,643,51000,33000,0.398,144,0,other,0
L01024,751,38100,27900,0.247,68,0,debt_consolidation,0
L01025,711,62500,13100,0.214,70,2,debt_consolidation,0
L01026,760,80600,57700,0.435,0,0,vehicle,0
L01027,709,61800,38300,0.251,90,0,other,0
L01028,684,48900,25800,0.527,122,0,medical,0
L01029,708,48900,27100,0.545,87,0,debt_consolidation,0
L01030,571,30200,10200,0.417,39,0,home_improvement,1
L01031,720,104300,28200,0.344,116,0,medical,0
L01032,778,43200,20900,0.095,0,2,debt_consolidation,0
L01033,713,89000,15700,0.211,0,0,vehicle,1
L01034,655,24600,14600,0.249,0,0,medical,0
L01035,840,49300,23900,0.256,45,0,debt_consolidation,0
L01036,835,56300,30900,0.414,30,0,medical,0
L01037,740,61900,18100,0.304,0,0,other,1
L01038,723,60900,37500,0.374,0,1,other,1
L01039,657,69900,36800,0.379,82,0,medical,0
